!CSV A.01.01
!Keysight Technologies,N5221A,MY51411169,A.10.49.11
!Date: Thursday, December 14, 2017 04:09:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
5700000000,-22.07073,-18.90719
5704200000,-22.053061,-19.052839
5708400000,-22.034235,-19.137976
5712600000,-22.046692,-19.39188
5716800000,-22.029156,-19.526421
5721000000,-22.013632,-19.622723
5725200000,-22.010025,-19.760248
5729400000,-22.033224,-19.850576
5733600000,-22.007063,-20.09293
5737800000,-22.002691,-20.249319
5742000000,-22.000235,-20.388123
5746200000,-22.007055,-20.409428
5750400000,-21.967152,-20.708822
5754600000,-21.983053,-20.879477
5758800000,-21.964649,-20.892963
5763000000,-21.954762,-21.044682
5767200000,-21.937252,-21.246353
5771400000,-21.94364,-21.366447
5775600000,-21.948841,-21.59831
5779800000,-21.932339,-21.668764
5784000000,-21.928375,-21.994492
5788200000,-21.930727,-21.954414
5792400000,-21.929131,-22.14875
5796600000,-21.931076,-22.183344
5800800000,-21.919657,-22.605083
5805000000,-21.923523,-22.778597
5809200000,-21.908798,-22.892864
5813400000,-21.918722,-23.0749
5817600000,-21.907633,-23.163441
5821800000,-21.894995,-23.234804
5826000000,-21.896568,-23.538239
5830200000,-21.873329,-23.663185
5834400000,-21.869183,-23.957298
5838600000,-21.861391,-24.02594
5842800000,-21.837151,-24.165632
5847000000,-21.829714,-24.427851
5851200000,-21.806849,-24.427393
5855400000,-21.828339,-24.728067
5859600000,-21.824738,-24.877079
5863800000,-21.810625,-24.974695
5868000000,-21.796139,-25.03858
5872200000,-21.799679,-25.316366
5876400000,-21.781017,-25.424557
5880600000,-21.792061,-25.606892
5884800000,-21.78171,-25.694515
5889000000,-21.770239,-25.81724
5893200000,-21.764179,-25.964045
5897400000,-21.736727,-26.178928
5901600000,-21.760695,-26.362591
5905800000,-21.761637,-26.474098
5910000000,-21.73839,-26.739254
5914200000,-21.746494,-26.785372
5918400000,-21.739498,-26.921085
5922600000,-21.730183,-27.152357
5926800000,-21.716736,-27.400087
5931000000,-21.721401,-27.524359
5935200000,-21.717642,-27.699389
5939400000,-21.691029,-27.969427
5943600000,-21.673923,-28.057865
5947800000,-21.68854,-28.262764
5952000000,-21.658598,-28.532608
5956200000,-21.67189,-28.768618
5960400000,-21.641272,-28.871054
5964600000,-21.643763,-28.984154
5968800000,-21.627623,-29.185511
5973000000,-21.62244,-29.36272
5977200000,-21.624107,-29.413107
5981400000,-21.613592,-29.529831
5985600000,-21.594437,-29.765368
5989800000,-21.575619,-29.869467
5994000000,-21.589033,-29.949764
5998200000,-21.582224,-30.179352
6002400000,-21.563356,-30.262054
6006600000,-21.562199,-30.531975
6010800000,-21.552155,-30.599344
6015000000,-21.546221,-30.770927
6019200000,-21.561373,-30.925512
6023400000,-21.5592,-30.971859
6027600000,-21.533451,-31.184855
6031800000,-21.542086,-31.448586
6036000000,-21.552969,-31.595417
6040200000,-21.541054,-31.824663
6044400000,-21.530361,-31.957321
6048600000,-21.533762,-32.134876
6052800000,-21.506096,-32.309597
6057000000,-21.524813,-32.454399
6061200000,-21.528734,-32.606461
6065400000,-21.496407,-32.753433
6069600000,-21.482096,-32.909576
6073800000,-21.493513,-33.125164
6078000000,-21.488119,-33.335922
6082200000,-21.472939,-33.448162
6086400000,-21.461193,-33.571751
6090600000,-21.459595,-33.828423
6094800000,-21.470123,-33.879017
6099000000,-21.461725,-34.0359
6103200000,-21.457468,-34.079399
6107400000,-21.461796,-34.333408
6111600000,-21.460098,-34.479046
6115800000,-21.450048,-34.570728
6120000000,-21.44577,-34.806343
6124200000,-21.450697,-34.984573
6128400000,-21.45503,-35.139572
6132600000,-21.449968,-35.146465
6136800000,-21.445913,-35.507374
6141000000,-21.45862,-35.645073
6145200000,-21.445248,-35.878872
6149400000,-21.444931,-36.121113
6153600000,-21.450264,-36.307201
6157800000,-21.45067,-36.460094
6162000000,-21.446846,-36.695709
6166200000,-21.456274,-36.929119
6170400000,-21.433365,-37.18401
